年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2021年上半年度,1512011185,南門綜合醫院,3,0.0000,15.0000,14,0%,3,70.7857,0%,0,10018,10018010
2021年全年度,1512011185,南門綜合醫院,3,0.0000,30.0000,29,0%,3,71.2758,6.9%,2,10018,10018010
2022年上半年度,1512011185,南門綜合醫院,3,0.0000,10.0000,10,0%,3,71.8000,0%,0,10018,10018010
2022年全年度,1512011185,南門綜合醫院,3,0.0000,30.0000,30,0%,3,71.5000,3.33%,1,10018,10018010
2023年上半年度,1512011185,南門綜合醫院,3,0.0000,7.0000,7,0%,1,71.1428,0%,0,10018,10018010
2023年全年度,1512011185,南門綜合醫院,3,0.0000,23.0000,21,0%,3,73.0476,9.52%,2,10018,10018010
2024年上半年度,1512011185,南門綜合醫院,3,0.0000,7.0000,7,0%,2,73.5714,0%,0,10018,10018010
2024年全年度,1512011185,南門綜合醫院,3,1.0000,16.0000,15,6.25%,3,72.0000,6.67%,1,10018,10018010
2025年上半年度,1512011185,南門綜合醫院,3,1.0000,7.0000,7,14.29%,1,69.8571,0%,0,10018,10018010
2006年全年度,1512011185,南門綜合醫院,3,0,7,7,0%,2,72.2857,14.28%,1,10018,10018010
2007年全年度,1512011185,南門綜合醫院,3,0,7,5,0%,2,71.4,0%,0,10018,10018010
2008年全年度,1512011185,南門綜合醫院,3,1,27,26,3.70%,4,68.8461,15.38%,4,10018,10018010
2009年全年度,1512011185,南門綜合醫院,3,0,15,15,0%,3,67.8666,13.33%,2,10018,10018010
2010年全年度,1512011185,南門綜合醫院,3,1,10,10,10%,3,69.2,0%,0,10018,10018010
2011年全年度,1517020040,台新醫院,3,0,1,1,0%,1,74,0%,0,66000,66000020
2012年全年度,1517020040,台新醫院,3,0,3,3,0%,1,71,0%,0,66000,66000020
2013年上半年度,1517020040,台新醫院,3,0,2,2,0%,1,76.5,0%,0,66000,66000020
2013年全年度,1517020040,台新醫院,3,0,3,3,0%,1,69.6666,0%,0,66000,66000020
2015年上半年度,1517020040,台新醫院,3,0.0000,3.0000,3,0%,1,68.3333,0%,0,66000,66000020
2015年全年度,1517020040,台新醫院,3,0.0000,4.0000,4,0%,1,68.7500,0%,0,66000,66000020
2016年上半年度,1517020040,台新醫院,3,0.0000,1.0000,1,0%,1,74.0000,100%,1,66000,66000020
2016年全年度,1517020040,台新醫院,3,0.0000,4.0000,4,0%,3,64.2500,25%,1,66000,66000020
2017年上半年度,1517020040,台新醫院,3,0.0000,3.0000,3,0%,1,70.3333,0%,0,66000,66000020
2017年全年度,1517020040,台新醫院,3,2.0000,7.0000,6,28.57%,1,67.5000,0%,0,66000,66000020
2018年上半年度,1517020040,台新醫院,3,0.0000,5.0000,4,0%,2,66.5000,25%,1,66000,66000020
2018年全年度,1517020040,台新醫院,3,0.0000,7.0000,6,0%,2,67.3333,16.67%,1,66000,66000020
2019年上半年度,1517020040,台新醫院,3,0.0000,8.0000,8,0%,2,75.2500,0%,0,66000,66000020
2019年全年度,1517020040,台新醫院,3,0.0000,9.0000,8,0%,2,75.2500,0%,0,66000,66000020
2020年上半年度,1517020040,台新醫院,3,0.0000,2.0000,2,0%,1,72.0000,0%,0,66000,66000020
2020年全年度,1517020040,台新醫院,3,0.0000,8.0000,7,0%,1,72.8571,0%,0,66000,66000020
2021年上半年度,1517020040,台新醫院,3,0.0000,6.0000,6,0%,1,72.8333,16.67%,1,66000,66000020
2021年全年度,1517020040,台新醫院,3,0.0000,14.0000,13,0%,1,71.6153,23.08%,3,66000,66000020
2022年上半年度,1517020040,台新醫院,3,0.0000,7.0000,7,0%,1,72.0000,0%,0,66000,66000020
2022年全年度,1517020040,台新醫院,3,0.0000,155.0000,150,0%,2,71.8800,13.33%,20,66000,66000020
2023年上半年度,1517020040,台新醫院,3,0.0000,139.0000,130,0%,1,72.9692,16.92%,22,66000,66000020
2023年全年度,1517020040,台新醫院,3,0.0000,226.0000,206,0%,1,72.7815,15.05%,31,66000,66000020
2008年全年度,1517020040,台新醫院,3,0,4,4,0%,1,71.5,0%,0,66000,66000020
2009年全年度,1517020040,台新醫院,3,0,6,5,0%,1,65.6,0%,0,66000,66000020
2010年全年度,1517020040,台新醫院,3,0,4,3,0%,1,73.3333,33.33%,1,66000,66000020
2011年上半年度,1517030055,林森醫院,3,0,21,21,0%,5,70.1428,14.28%,3,66000,66000030
2011年全年度,1517030055,林森醫院,3,1,57,55,1.75%,5,71.0363,12.72%,7,66000,66000030
2012年上半年度,1517030055,林森醫院,3,0,26,26,0%,5,70.3846,11.53%,3,66000,66000030
2012年全年度,1517030055,林森醫院,3,1,61,59,1.64%,5,71.3898,10.17%,6,66000,66000030
2013年上半年度,1517030055,林森醫院,3,0,29,29,0%,5,71.2068,6.90%,2,66000,66000030
2013年全年度,1517030055,林森醫院,3,0,58,57,0%,5,71.2456,10.53%,6,66000,66000030
2014年上半年度,1517030055,林森醫院,3,0,33,32,0%,4,70.9687,6.25%,2,66000,66000030
2014年全年度,1517030055,林森醫院,3,0.0000,64.0000,59,0%,5,70.6610,5.08%,3,66000,66000030
2015年上半年度,1517030055,林森醫院,3,0.0000,31.0000,31,0%,6,69.1612,6.45%,2,66000,66000030
2015年全年度,1517030055,林森醫院,3,0.0000,64.0000,61,0%,8,68.5737,8.2%,5,66000,66000030
2016年上半年度,1517030055,林森醫院,3,1.0000,44.0000,42,2.27%,6,69.4047,7.14%,3,66000,66000030
2016年全年度,1517030055,林森醫院,3,2.0000,89.0000,85,2.25%,7,70.0000,10.59%,9,66000,66000030
2017年上半年度,1517030055,林森醫院,3,0.0000,32.0000,32,0%,5,71.2187,0%,0,66000,66000030
2017年全年度,1517030055,林森醫院,3,1.0000,75.0000,70,1.33%,6,70.8714,5.71%,4,66000,66000030
2018年上半年度,1517030055,林森醫院,3,1.0000,43.0000,43,2.33%,6,69.6744,6.98%,3,66000,66000030
2018年全年度,1517030055,林森醫院,3,1.0000,77.0000,76,1.3%,6,70.1447,14.47%,11,66000,66000030
2019年上半年度,1517030055,林森醫院,3,0.0000,27.0000,26,0%,5,70.4230,15.38%,4,66000,66000030
2019年全年度,1517030055,林森醫院,3,0.0000,57.0000,56,0%,5,69.2857,14.29%,8,66000,66000030
2020年上半年度,1517030055,林森醫院,3,0.0000,19.0000,18,0%,5,71.1666,22.22%,4,66000,66000030
2020年全年度,1517030055,林森醫院,3,0.0000,52.0000,51,0%,5,71.6078,13.73%,7,66000,66000030
2021年上半年度,1517030055,林森醫院,3,0.0000,21.0000,21,0%,5,67.5714,23.81%,5,66000,66000030
2021年全年度,1517030055,林森醫院,3,0.0000,50.0000,49,0%,5,70.1428,18.37%,9,66000,66000030
2022年上半年度,1517030055,林森醫院,3,0.0000,29.0000,28,0%,4,69.1428,28.57%,8,66000,66000030
2022年全年度,1517030055,林森醫院,3,1.0000,68.0000,65,1.47%,5,68.7846,21.54%,14,66000,66000030
2023年上半年度,1517030055,林森醫院,3,0.0000,44.0000,44,0%,4,70.7272,15.91%,7,66000,66000030
2023年全年度,1517030055,林森醫院,3,1.0000,70.0000,68,1.43%,4,69.3676,16.18%,11,66000,66000030
2024年上半年度,1517030055,林森醫院,3,0.0000,31.0000,31,0%,4,68.6129,12.9%,4,66000,66000030
2024年全年度,1517030055,林森醫院,3,1.0000,62.0000,62,1.61%,5,68.0967,14.52%,9,66000,66000030
2025年上半年度,1517030055,林森醫院,3,0.0000,32.0000,31,0%,5,68.7741,19.35%,6,66000,66000030
2006年全年度,1517030055,林森醫院,3,0,50,49,0%,4,70.4081,14.28%,7,66000,66000030
2007年全年度,1517030055,林森醫院,3,0,52,50,0%,4,71.42,2%,1,66000,66000030
2008年全年度,1517030055,林森醫院,3,1,70,69,1.42%,4,68.6086,11.59%,8,66000,66000030
2009年全年度,1517030055,林森醫院,3,0,63,60,0%,4,71.2833,6.66%,4,66000,66000030
2010年全年度,1517030055,林森醫院,3,0,61,59,0%,4,71.5762,8.47%,5,66000,66000030
2011年上半年度,1517061032,澄清綜合醫院中港分院,2,0,65,65,0%,6,69.923,7.69%,5,66000,66000060
2011年全年度,1517061032,澄清綜合醫院中港分院,2,0,159,157,0%,7,68.7898,7.64%,12,66000,66000060
2012年上半年度,1517061032,澄清綜合醫院中港分院,2,0,71,71,0%,5,69.8309,8.45%,6,66000,66000060
2012年全年度,1517061032,澄清綜合醫院中港分院,2,0,150,145,0%,6,69.862,6.90%,10,66000,66000060
2013年上半年度,1517061032,澄清綜合醫院中港分院,2,1,77,75,1.30%,6,69.84,21.33%,16,66000,66000060
2013年全年度,1517061032,澄清綜合醫院中港分院,2,2,175,164,1.14%,6,70.6707,13.41%,22,66000,66000060
2014年上半年度,1517061032,澄清綜合醫院中港分院,2,0,92,92,0%,5,72.8369,10.87%,10,66000,66000060
2014年全年度,1517061032,澄清綜合醫院中港分院,2,1.0000,179.0000,173,0.56%,7,72.2254,12.72%,22,66000,66000060
2015年上半年度,1517061032,澄清綜合醫院中港分院,2,3.0000,97.0000,96,3.09%,6,71.4583,10.42%,10,66000,66000060
2015年全年度,1517061032,澄清綜合醫院中港分院,2,3.0000,221.0000,212,1.36%,7,70.9811,13.68%,29,66000,66000060
2016年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,98.0000,95,0%,7,69.7157,12.63%,12,66000,66000060
2016年全年度,1517061032,澄清綜合醫院中港分院,2,3.0000,210.0000,196,1.43%,7,69.3163,10.71%,21,66000,66000060
2017年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,79.0000,79,0%,7,71.0379,10.13%,8,66000,66000060
2017年全年度,1517061032,澄清綜合醫院中港分院,2,1.0000,201.0000,192,0.5%,8,70.4895,11.98%,23,66000,66000060
2018年上半年度,1517061032,澄清綜合醫院中港分院,2,1.0000,98.0000,96,1.02%,7,71.3125,11.46%,11,66000,66000060
2018年全年度,1517061032,澄清綜合醫院中港分院,2,2.0000,220.0000,207,0.91%,7,71.6956,10.63%,22,66000,66000060
2019年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,81.0000,78,0%,7,71.0769,15.38%,12,66000,66000060
2019年全年度,1517061032,澄清綜合醫院中港分院,2,0.0000,184.0000,173,0%,8,71.4913,12.14%,21,66000,66000060
2020年上半年度,1517061032,澄清綜合醫院中港分院,2,1.0000,60.0000,57,1.67%,7,70.3333,10.53%,6,66000,66000060
2020年全年度,1517061032,澄清綜合醫院中港分院,2,2.0000,146.0000,139,1.37%,9,70.4532,11.51%,16,66000,66000060
2021年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,54.0000,54,0%,7,71.2407,12.96%,7,66000,66000060
2021年全年度,1517061032,澄清綜合醫院中港分院,2,0.0000,123.0000,115,0%,7,70.9043,16.52%,19,66000,66000060
2022年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,63.0000,62,0%,6,72.1774,14.52%,9,66000,66000060
2022年全年度,1517061032,澄清綜合醫院中港分院,2,0.0000,132.0000,129,0%,7,71.7984,11.63%,15,66000,66000060
2023年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,102.0000,100,0%,8,71.0400,12%,12,66000,66000060
2023年全年度,1517061032,澄清綜合醫院中港分院,2,0.0000,208.0000,199,0%,8,70.6231,12.06%,24,66000,66000060
2024年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,103.0000,102,0%,8,71.2058,15.69%,16,66000,66000060
2024年全年度,1517061032,澄清綜合醫院中港分院,2,0.0000,212.0000,200,0%,9,71.0800,13.5%,27,66000,66000060
2025年上半年度,1517061032,澄清綜合醫院中港分院,2,0.0000,83.0000,80,0%,6,69.4375,13.75%,11,66000,66000060
2006年全年度,1517061032,澄清綜合醫院中港分院,2,1,129,124,0.77%,6,70.8225,8.87%,11,66000,66000060
2007年全年度,1517061032,澄清綜合醫院中港分院,2,2,147,138,1.36%,8,69.2898,8.69%,12,66000,66000060
2008年全年度,1517061032,澄清綜合醫院中港分院,2,2,159,153,1.25%,8,71.1633,6.53%,10,66000,66000060
2009年全年度,1517061032,澄清綜合醫院中港分院,2,3,179,174,1.67%,6,70.4712,10.34%,18,66000,66000060
2010年全年度,1517061032,澄清綜合醫院中港分院,2,2,170,164,1.17%,7,69.4634,9.75%,16,66000,66000060
2011年上半年度,1517080019,聯安醫院,3,0,9,9,0%,3,72.2222,22.22%,2,66000,66000080
2011年全年度,1517080019,聯安醫院,3,0,14,14,0%,3,71.5,14.28%,2,66000,66000080
2012年上半年度,1517080019,聯安醫院,3,0,5,5,0%,2,69.4,0%,0,66000,66000080
2012年全年度,1517080019,聯安醫院,3,0,12,12,0%,2,68.3333,0%,0,66000,66000080
2013年上半年度,1517080019,聯安醫院,3,0,4,4,0%,1,70.75,0%,0,66000,66000080
2013年全年度,1517080019,聯安醫院,3,0,6,6,0%,1,70.6666,0%,0,66000,66000080
2014年上半年度,1517080019,聯安醫院,3,0,2,2,0%,1,56,0%,0,66000,66000080
2014年全年度,1517080019,聯安醫院,3,0.0000,7.0000,7,0%,1,69.1428,0%,0,66000,66000080
2015年上半年度,1517080019,聯安醫院,3,0.0000,1.0000,1,0%,1,64.0000,0%,0,66000,66000080
2015年全年度,1517080019,聯安醫院,3,0.0000,5.0000,5,0%,1,72.2000,40%,2,66000,66000080
2016年上半年度,1517080019,聯安醫院,3,0.0000,5.0000,5,0%,1,64.4000,20%,1,66000,66000080
2016年全年度,1517080019,聯安醫院,3,0.0000,5.0000,5,0%,1,64.4000,20%,1,66000,66000080
2018年上半年度,1517080019,聯安醫院,3,0.0000,1.0000,1,0%,1,68.0000,0%,0,66000,66000080
2018年全年度,1517080019,聯安醫院,3,0.0000,3.0000,3,0%,1,71.0000,0%,0,66000,66000080
2019年上半年度,1517080019,聯安醫院,3,0.0000,2.0000,2,0%,1,69.5000,0%,0,66000,66000080
2019年全年度,1517080019,聯安醫院,3,0.0000,3.0000,3,0%,1,67.6666,0%,0,66000,66000080
2020年上半年度,1517080019,聯安醫院,3,0.0000,1.0000,1,0%,1,74.0000,0%,0,66000,66000080
2020年全年度,1517080019,聯安醫院,3,0.0000,6.0000,5,0%,1,74.4000,0%,0,66000,66000080
2021年上半年度,1517080019,聯安醫院,3,0.0000,2.0000,2,0%,1,72.5000,0%,0,66000,66000080
2021年全年度,1517080019,聯安醫院,3,0.0000,6.0000,5,0%,1,65.0000,20%,1,66000,66000080
2022年上半年度,1517080019,聯安醫院,3,0.0000,2.0000,2,0%,1,82.0000,0%,0,66000,66000080
2022年全年度,1517080019,聯安醫院,3,0.0000,7.0000,7,0%,1,71.0000,0%,0,66000,66000080
2006年全年度,1517080019,聯安醫院,3,0,10,10,0%,2,71.3,0%,0,66000,66000080
2007年全年度,1517080019,聯安醫院,3,0,17,16,0%,3,71.125,0%,0,66000,66000080
2008年全年度,1517080019,聯安醫院,3,0,19,17,0%,3,69.647,5.88%,1,66000,66000080
2009年全年度,1517080019,聯安醫院,3,0,15,14,0%,3,66.2857,35.71%,5,66000,66000080
2010年全年度,1517080019,聯安醫院,3,0,9,9,0%,3,69.8888,22.22%,2,66000,66000080
2011年上半年度,1521031104,郭綜合醫院,3,0,7,7,0%,3,73.4285,28.57%,2,10021,67000370
2011年全年度,1521031104,郭綜合醫院,3,0,21,18,0%,3,70.8333,11.11%,2,10021,67000370
2012年上半年度,1521031104,郭綜合醫院,3,0,15,15,0%,2,71.8666,13.33%,2,10021,67000370
2012年全年度,1521031104,郭綜合醫院,3,0,42,41,0%,2,70.5609,7.32%,3,10021,67000370
2013年上半年度,1521031104,郭綜合醫院,3,0,15,15,0%,2,73.2,6.67%,1,10021,67000370
2013年全年度,1521031104,郭綜合醫院,3,0,25,22,0%,2,73.9545,9.09%,2,10021,67000370
2014年上半年度,1521031104,郭綜合醫院,3,0,4,4,0%,2,75.25,0%,0,10021,67000370
2014年全年度,1521031104,郭綜合醫院,3,0.0000,15.0000,14,0%,4,73.5714,0%,0,10021,67000370
2015年上半年度,1521031104,郭綜合醫院,3,0.0000,6.0000,6,0%,2,76.0000,0%,0,10021,67000370
2015年全年度,1521031104,郭綜合醫院,3,0.0000,20.0000,20,0%,2,74.3500,0%,0,10021,67000370
2016年上半年度,1521031104,郭綜合醫院,3,0.0000,9.0000,9,0%,1,68.5555,0%,0,10021,67000370
2016年全年度,1521031104,郭綜合醫院,3,0.0000,17.0000,16,0%,1,69.0625,0%,0,10021,67000370
2017年上半年度,1521031104,郭綜合醫院,3,0.0000,8.0000,8,0%,2,72.0000,0%,0,10021,67000370
2017年全年度,1521031104,郭綜合醫院,3,0.0000,21.0000,20,0%,3,69.2500,10%,2,10021,67000370
2018年上半年度,1521031104,郭綜合醫院,3,0.0000,41.0000,41,0%,2,70.8536,12.2%,5,10021,67000370
2018年全年度,1521031104,郭綜合醫院,3,1.0000,111.0000,109,0.9%,3,70.7339,9.17%,10,10021,67000370
2019年上半年度,1521031104,郭綜合醫院,3,0.0000,71.0000,69,0%,3,72.0289,8.7%,6,10021,67000370
2019年全年度,1521031104,郭綜合醫院,3,0.0000,156.0000,145,0%,3,71.3172,10.34%,15,10021,67000370
2020年上半年度,1521031104,郭綜合醫院,3,0.0000,73.0000,72,0%,3,71.6944,12.5%,9,10021,67000370
2020年全年度,1521031104,郭綜合醫院,3,0.0000,206.0000,198,0%,4,70.8737,14.14%,28,10021,67000370
2021年上半年度,1521031104,郭綜合醫院,3,0.0000,106.0000,104,0%,4,70.1730,16.35%,17,10021,67000370
2021年全年度,1521031104,郭綜合醫院,3,0.0000,217.0000,206,0%,4,70.8349,18.45%,38,10021,67000370
2022年上半年度,1521031104,郭綜合醫院,3,1.0000,127.0000,124,0.79%,4,71.2983,23.39%,29,10021,67000370
2022年全年度,1521031104,郭綜合醫院,3,2.0000,281.0000,271,0.71%,5,71.7822,18.45%,50,10021,67000370
2023年上半年度,1521031104,郭綜合醫院,3,0.0000,156.0000,155,0%,3,72.2258,10.32%,16,10021,67000370
2023年全年度,1521031104,郭綜合醫院,3,0.0000,297.0000,280,0%,3,71.3678,11.07%,31,10021,67000370
2024年上半年度,1521031104,郭綜合醫院,3,0.0000,159.0000,151,0%,5,71.7682,15.23%,23,10021,67000370
2024年全年度,1521031104,郭綜合醫院,3,2.0000,336.0000,308,.6%,5,71.4123,14.94%,46,10021,67000370
2025年上半年度,1521031104,郭綜合醫院,3,0.0000,157.0000,156,0%,3,71.9935,19.87%,31,10021,67000370
2006年全年度,1521031104,郭綜合醫院,3,0,4,4,0%,1,73.25,0%,0,10021,67000370
2007年全年度,1521031104,郭綜合醫院,3,0,17,14,0%,2,75.4285,7.14%,1,10021,67000370
2008年全年度,1521031104,郭綜合醫院,3,0,8,8,0%,2,70.375,0%,0,10021,67000370
2009年全年度,1521031104,郭綜合醫院,3,0,14,13,0%,2,69.0769,7.69%,1,10021,67000370
2010年全年度,1521031104,郭綜合醫院,3,0,13,13,0%,2,72.6153,30.76%,4,10021,67000370
2011年上半年度,1522011115,陽明醫院,3,0,93,90,0%,4,70.2222,4.44%,4,10020,10020010
2011年全年度,1522011115,陽明醫院,3,1,234,224,0.42%,4,69.6964,6.25%,14,10020,10020010
2012年上半年度,1522011115,陽明醫院,3,0,93,90,0%,4,69.8,2.22%,2,10020,10020010
2012年全年度,1522011115,陽明醫院,3,2,208,194,0.96%,4,69.335,4.12%,8,10020,10020010
2013年上半年度,1522011115,陽明醫院,3,0,100,98,0%,4,69.7551,5.10%,5,10020,10020010
2013年全年度,1522011115,陽明醫院,3,0,195,184,0%,4,70.4565,6.52%,12,10020,10020010
2014年上半年度,1522011115,陽明醫院,3,0,89,88,0%,5,68.7727,15.91%,14,10020,10020010
2014年全年度,1522011115,陽明醫院,3,0.0000,203.0000,196,0%,5,69.6326,11.73%,23,10020,10020010
2015年上半年度,1522011115,陽明醫院,3,0.0000,81.0000,80,0%,5,71.3250,12.5%,10,10020,10020010
2015年全年度,1522011115,陽明醫院,3,1.0000,187.0000,183,0.53%,5,70.7814,12.02%,22,10020,10020010
2016年上半年度,1522011115,陽明醫院,3,0.0000,74.0000,72,0%,4,71.9583,6.94%,5,10020,10020010
2016年全年度,1522011115,陽明醫院,3,0.0000,147.0000,144,0%,6,71.4305,4.86%,7,10020,10020010
2017年上半年度,1522011115,陽明醫院,3,0.0000,71.0000,69,0%,5,72.4057,7.25%,5,10020,10020010
2017年全年度,1522011115,陽明醫院,3,0.0000,153.0000,143,0%,6,72.6153,9.09%,13,10020,10020010
2018年上半年度,1522011115,陽明醫院,3,0.0000,85.0000,83,0%,6,72.8313,10.84%,9,10020,10020010
2018年全年度,1522011115,陽明醫院,3,0.0000,173.0000,166,0%,7,72.3734,11.45%,19,10020,10020010
2019年上半年度,1522011115,陽明醫院,3,0.0000,82.0000,81,0%,6,71.0000,9.88%,8,10020,10020010
2019年全年度,1522011115,陽明醫院,3,0.0000,146.0000,139,0%,6,70.5683,7.91%,11,10020,10020010
2020年上半年度,1522011115,陽明醫院,3,0.0000,49.0000,49,0%,6,72.7959,4.08%,2,10020,10020010
2020年全年度,1522011115,陽明醫院,3,0.0000,127.0000,125,0%,6,72.0960,8.8%,11,10020,10020010
2021年上半年度,1522011115,陽明醫院,3,0.0000,50.0000,50,0%,5,70.4000,12%,6,10020,10020010
2021年全年度,1522011115,陽明醫院,3,0.0000,97.0000,96,0%,6,71.3854,8.33%,8,10020,10020010
2022年上半年度,1522011115,陽明醫院,3,0.0000,48.0000,48,0%,6,72.7291,10.42%,5,10020,10020010
2022年全年度,1522011115,陽明醫院,3,1.0000,97.0000,93,1.03%,6,72.6989,12.9%,12,10020,10020010
2023年上半年度,1522011115,陽明醫院,3,0.0000,33.0000,32,0%,6,71.1562,9.38%,3,10020,10020010
2023年全年度,1522011115,陽明醫院,3,0.0000,92.0000,85,0%,6,72.1176,12.94%,11,10020,10020010
2024年上半年度,1522011115,陽明醫院,3,0.0000,48.0000,47,0%,6,73.5531,12.77%,6,10020,10020010
2024年全年度,1522011115,陽明醫院,3,0.0000,102.0000,99,0%,6,72.9393,11.11%,11,10020,10020010
2025年上半年度,1522011115,陽明醫院,3,0.0000,45.0000,45,0%,6,71.5333,20%,9,10020,10020010
2006年全年度,1522011115,陽明醫院,3,6,219,203,2.73%,5,70.2118,4.92%,10,10020,10020010
2007年全年度,1522011115,陽明醫院,3,3,209,197,1.43%,4,68.8527,3.04%,6,10020,10020010
2008年全年度,1522011115,陽明醫院,3,2,202,196,0.99%,4,69.454,8.16%,16,10020,10020010
2009年全年度,1522011115,陽明醫院,3,2,200,186,1%,4,69.8978,3.76%,7,10020,10020010
2010年全年度,1522011115,陽明醫院,3,4,207,202,1.93%,4,69.891,5.94%,12,10020,10020010
2011年上半年度,1531010279,板橋中興醫院,3,0,22,22,0%,1,66.5454,18.18%,4,65000,65000010
2011年全年度,1531010279,板橋中興醫院,3,1,60,60,1.66%,1,69.05,11.66%,7,65000,65000010
2012年上半年度,1531010279,板橋中興醫院,3,2,32,32,6.25%,2,70.6562,9.37%,3,65000,65000010
2012年全年度,1531010279,板橋中興醫院,3,3,51,49,5.88%,2,71.3061,10.20%,5,65000,65000010
2013年上半年度,1531010279,板橋中興醫院,3,0,22,22,0%,1,73.1363,9.09%,2,65000,65000010
2013年全年度,1531010279,板橋中興醫院,3,0,48,48,0%,1,71.0625,14.58%,7,65000,65000010
2014年上半年度,1531010279,板橋中興醫院,3,0,22,22,0%,1,69.3181,4.55%,1,65000,65000010
2014年全年度,1531010279,板橋中興醫院,3,0.0000,35.0000,35,0%,1,70.2000,8.57%,3,65000,65000010
2015年上半年度,1531010279,板橋中興醫院,3,1.0000,23.0000,23,4.35%,1,72.3913,8.7%,2,65000,65000010
2015年全年度,1531010279,板橋中興醫院,3,1.0000,48.0000,47,2.08%,1,70.5744,12.77%,6,65000,65000010
2016年上半年度,1531010279,板橋中興醫院,3,0.0000,23.0000,23,0%,1,70.3478,0%,0,65000,65000010
2016年全年度,1531010279,板橋中興醫院,3,0.0000,62.0000,62,0%,1,71.3225,8.06%,5,65000,65000010
